file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-ER-A42H-01A-01-TSA_patch=1,0.81398611,7837,273,D
TCGA-FR-A3YN-06A-01-TS1_patch=1,0.96125,4570,5040,IE
TCGA-FR-A726-01A-01-TS1_patch=1,0.89119722,7303,1617,D
TCGA-FR-A729-06A-01-TS1_patch=1,0.89511667,2004,6884,IE
TCGA-FR-A729-06A-01-TS1_patch=2,0.98022083,7240,2515,IE
TCGA-FR-A729-06A-01-TS1_patch=3,0.92313333,2791,6417,IE
TCGA-FR-A7UA-06A-03-TS3_patch=1,0.837725,10,8366,IE
TCGA-FR-A7UA-06A-03-TS3_patch=2,0.89149861,80,8849,IE
TCGA-FR-A8YD-06A-01-TS1_patch=1,0.852025,5612,2913,D
TCGA-FR-A8YD-06A-01-TS1_patch=2,0.96742708,8476,1199,D
TCGA-FS-A1Z0-06A-01-TSA_patch=1,0.83288611,7502,840,IE
TCGA-FS-A1Z0-06A-01-TSA_patch=2,0.97634236,8137,1584,IE
TCGA-FS-A1Z4-06A-01-TSA_patch=1,0.93103056,7286,1981,D
TCGA-FS-A1Z4-06A-01-TSA_patch=2,0.90286111,6768,2238,D
TCGA-FS-A1Z4-06A-01-TSA_patch=3,1,4272,5660,D
TCGA-FS-A1ZE-06A-01-TS1_patch=1,0.82946667,4508,3725,D
TCGA-FS-A1ZE-06A-01-TS1_patch=2,0.82032986,4700,3495,D
TCGA-FS-A1ZE-06A-01-TS1_patch=3,0.86832361,6114,2580,D
TCGA-FS-A1ZJ-06A-01-TSA_patch=1,0.832575,6038,2256,D
TCGA-FS-A1ZK-06A-01-TSA_patch=1,0.86049722,6695,1795,D
TCGA-FS-A1ZT-06A-01-TSA_patch=1,0.84931181,1279,7200,IE
TCGA-FS-A1ZU-06A-01-TSA_patch=1,0.82253125,2986,5221,D
TCGA-FS-A1ZU-06A-01-TSA_patch=2,0.84787917,2730,5657,D
TCGA-FS-A1ZW-06A-01-TS1_patch=1,0.88350833,1878,6950,IE
TCGA-FS-A1ZW-06A-01-TS1_patch=2,0.96168056,2157,7443,IE
TCGA-FS-A1ZY-06A-01-TS1_patch=1,0.80534861,3344,4640,D
TCGA-FS-A4FB-06A-01-TS1_patch=1,0.869175,7919,760,D
TCGA-FS-A4FB-06A-01-TS1_patch=2,0.96231528,9352,258,D
TCGA-FS-A4FD-06A-01-TS1_patch=1,0.83299167,8105,216,D
TCGA-FW-A3I3-06A-01-TSA_patch=1,0.80628958,1470,6601,D
TCGA-FW-A3I3-06A-01-TSA_patch=2,0.93810833,6975,2398,D
TCGA-FW-A3I3-06A-01-TSA_patch=3,1,8853,1147,D
TCGA-FW-A3TU-06A-01-TS1_patch=1,1,9116,830,IE
TCGA-FW-A3TU-06A-01-TS1_patch=2,0.95246806,9343,176,IE
TCGA-FW-A5DX-01A-01-TS1_patch=1,0.93281944,8350,931,D
TCGA-FW-A5DX-01A-01-TS1_patch=2,0.98912083,9612,247,D
TCGA-GF-A2C7-01A-01-TSA_patch=1,0.93938472,8766,604,D
TCGA-GF-A4EO-06A-01-TS1_patch=1,0.94056667,130,9276,IE
TCGA-GN-A26D-06A-01-TSA_patch=1,0.96190764,4369,5172,D
TCGA-GN-A26D-06A-01-TSA_patch=2,0.98490417,2883,6932,D
TCGA-GN-A4U3-06A-01-TS1_patch=1,0.90646181,8700,364,D
TCGA-GN-A4U3-06A-01-TS1_patch=2,0.82490278,6035,2208,D
TCGA-GN-A4U3-06A-01-TS1_patch=3,0.880375,8196,616,D
TCGA-GN-A4U4-06A-01-TS1_patch=1,1,6679,3321,D
TCGA-GN-A4U5-01A-01-TSA_patch=1,0.85421528,6351,2149,IE
TCGA-GN-A4U5-01A-01-TSA_patch=2,0.93649861,7922,1399,IE
TCGA-GN-A4U5-01A-01-TSA_patch=3,0.98059306,5891,3803,IE
TCGA-GN-A4U9-06A-01-TSA_patch=1,0.81884097,3960,4276,D
TCGA-GN-A4U9-06A-01-TSA_patch=2,0.84176944,4414,3881,D
TCGA-GN-A8LL-06A-02-TS2_patch=1,0.82169444,2614,5490,D
TCGA-GN-A8LL-06A-02-TS2_patch=2,0.88637431,1375,7450,D
TCGA-QB-AA9O-06A-01-TS1_patch=1,0.974625,5420,4263,IE
TCGA-RP-A694-06A-01-TSA_patch=1,0.91749444,6159,3038,D
TCGA-W3-AA1W-06A-01-TS1_patch=1,0.90074028,1052,7928,IE
TCGA-WE-A8JZ-06A-01-TSA_patch=1,0.91099306,8384,750,D
TCGA-WE-A8JZ-06A-01-TSA_patch=2,0.82649514,7244,988,D
TCGA-WE-A8K1-06A-02-TSB_patch=1,0.83205625,2827,5479,IE
TCGA-WE-A8K1-06A-02-TSB_patch=2,0.99292222,5968,3893,IE
TCGA-WE-A8K4-01A-01-TSA_patch=1,0.81587708,5750,2355,IE
TCGA-WE-A8K4-01A-01-TSA_patch=2,0.93162847,5935,3332,IE
TCGA-WE-A8K4-01A-01-TSA_patch=3,0.91249444,6075,3021,IE
TCGA-WE-A8K5-06A-01-TSA_patch=1,0.89621111,7044,1908,D
TCGA-WE-A8K5-06A-01-TSA_patch=2,0.81653611,6088,2028,D
TCGA-WE-A8ZM-06A-01-TS1_patch=1,0.89703333,7882,1059,D
TCGA-WE-A8ZO-06A-01-TS1_patch=1,0.88100208,5041,3770,IE
TCGA-WE-A8ZO-06A-01-TS1_patch=2,0.80114028,6012,1983,IE
TCGA-XV-A9W5-01A-01-TSA_patch=1,0.83351042,4870,3407,D
TCGA-XV-AAZW-01A-01-TS1_patch=1,0.81637917,2992,5005,D
TCGA-XV-AAZW-01A-01-TS1_patch=2,0.94519931,4377,5024,D
TCGA-XV-AAZY-01A-01-TS1_patch=1,0.82316597,5557,2604,D
TCGA-YG-AA3N-01A-01-TS1_patch=1,0.81634583,1915,6178,IE
TCGA-YG-AA3N-01A-01-TS1_patch=2,0.89025,2656,6201,IE
TCGA-YG-AA3O-06A-01-TSA_patch=1,0.83292083,8204,117,D
TCGA-YG-AA3O-06A-01-TSA_patch=2,0.88010694,8361,450,D
TCGA-YG-AA3P-06A-01-TS1_patch=1,0.85881667,8521,108,D
TCGA-YG-AA3P-06A-01-TS1_patch=2,1,9796,204,D
TCGA-Z2-AA3S-06A-01-TSA_patch=1,0.9741125,9432,315,IE
