sample,area (training),area (reconstruction),perimeter (training),perimeter (reconstruction),complexity (training),complexity (reconstruction)
429,569.5,409.0,91.01219260692596,76.42640614509583,1.1574322044690855,1.1364588207283626
430,149.0,33.5,50.284270882606506,22.242640614509583,1.3504178880694246,1.175216874023725
431,575.5,412.0,97.154327750206,76.42640697956085,1.3051760928480383,1.1281836597767787
432,470.0,292.0,83.94112479686737,67.4558436870575,1.1930038544255748,1.2400706864565834
433,778.0,568.0,107.25483310222626,89.94112491607666,1.1766418250730704,1.1333353378570337
434,252.5,105.0,62.5269113779068,40.97056245803833,1.2321475179577803,1.2721686503348142
435,292.5,159.5,65.35533857345581,48.041630148887634,1.1620542497415074,1.151502591009641
436,749.5,561.0,105.01219260692596,89.94112467765808,1.1708410801314006,1.1474767709267997
437,649.0,467.0,98.91168749332428,81.94112503528595,1.1996116139120885,1.144134549668673
438,332.0,209.0,71.11269783973694,54.62741661071777,1.2121220796930172,1.1362271837121147
439,422.5,246.5,81.35533821582794,61.071067690849304,1.2466241401115012,1.204049212047209
440,221.5,115.5,61.35533857345581,42.870057344436646,1.3524496922279299,1.2662407348537963
441,670.5,490.0,99.49747323989868,84.28427040576935,1.174939373032064,1.1536846637513438
442,468.5,301.0,87.01219248771667,67.1126983165741,1.2859993959422056,1.1907841381557749
443,423.5,264.0,80.18376541137695,61.455843806266785,1.2081187227643562,1.138446381846917
444,436.5,274.5,83.01219236850739,67.01219236850739,1.256289284751328,1.301833491702095
445,776.5,522.0,125.63960921764374,93.59797883033752,1.6177143195422519,1.3355266978400797
446,422.0,227.0,79.59797894954681,58.1421355009079,1.1947630054172902,1.185076091906914
447,729.5,561.0,105.84061968326569,89.94112467765808,1.2219954464819363,1.1474767709267997
448,475.5,310.5,82.66904699802399,69.35533833503723,1.1437351728232734,1.232787780122522
449,807.5,624.0,109.8406194448471,95.5979790687561,1.188977269096415,1.1654750188697685
450,745.5,580.5,105.35533833503723,90.52691102027893,1.1848287406861746,1.123423010235119
451,189.0,99.5,59.597978830337524,40.52691197395325,1.4955171406076082,1.3135726017259521
452,357.0,221.0,74.28427076339722,56.97056233882904,1.2300298431965322,1.168688780557749
453,486.5,354.0,85.8406195640564,74.76955199241638,1.2052939550838588,1.2567139351548857
454,500.0,295.5,88.56854093074799,66.18376588821411,1.2484728778630902,1.1796022735813199
455,396.0,261.0,76.76955163478851,61.455843448638916,1.1843306215811726,1.1515319590407183
456,389.0,221.0,79.5979790687561,56.97056233882904,1.2961182256974004,1.168688780557749
457,550.0,391.0,89.59797894954681,75.25483298301697,1.161512460982075,1.1526094369903082
458,368.5,213.0,75.8406195640564,55.59797930717468,1.2420995036254754,1.1548578949409456
459,488.5,297.0,85.8406195640564,65.94112527370453,1.2003592817774766,1.1650549105830723
460,326.5,201.5,71.84061968326569,56.52691197395325,1.2579028178580427,1.2619019379154908
461,373.5,189.5,77.35533857345581,55.2132031917572,1.2749117168645954,1.2801675328237307
462,240.5,124.0,61.21320295333862,43.313708424568176,1.2398389164009065,1.203979765661202
463,5.0,561.0,10.828427076339722,94.28427052497864,1.866168626502612,1.2609729354390484
464,697.0,582.0,100.56854116916656,93.25483345985413,1.1547332162827393,1.1890766556971444
465,411.0,263.0,78.42640578746796,61.94112455844879,1.190893537084361,1.1608939801343714
466,555.0,378.5,92.08326029777527,75.84062016010284,1.2157898906482547,1.20928315529858
467,723.5,558.0,104.32590091228485,89.94112491607666,1.197115042647439,1.1536460069942567
468,732.5,507.0,105.49747383594513,85.45584344863892,1.209112268599643,1.146213994717307
469,231.5,105.0,60.041630148887634,40.14213538169861,1.239207663573699,1.2212421340777253
470,735.5,521.0,106.66904664039612,85.94112479686737,1.2310743596286595,1.1281178720660925
471,667.0,464.0,110.08326017856598,86.28427135944366,1.4457954976693277,1.2768369067687158
472,179.5,81.0,54.5269113779068,35.31370806694031,1.318097327502943,1.2251570458721812
473,376.5,209.0,75.8406194448471,54.62741672992706,1.2157069472698083,1.1362271886711204
474,609.5,433.5,95.0121922492981,77.84062051773071,1.1786235207908908,1.1122786799735134
475,276.0,131.0,66.42640602588654,46.97056245803833,1.2722210158144767,1.3402023090039832
476,534.0,375.0,91.74011468887329,74.08326017856598,1.254201848168744,1.1646596793113346
477,660.5,499.5,100.6690468788147,83.69848442077637,1.2209819046421744,1.1160658806394157
478,721.0,509.0,106.08326017856598,86.28427064418793,1.2420771934172214,1.1639534674231549
479,583.5,409.0,93.49747455120087,78.7695517539978,1.1921997771360688,1.2072120899023304
480,215.5,89.5,56.87005698680878,37.2132031917572,1.1942910792560415,1.2312924294601935
481,347.0,206.0,73.59797883033752,53.455843567848206,1.2422026080856616,1.1038582056743296
482,669.5,469.0,98.66904699802399,83.11269760131836,1.1571813396865371,1.172065952538336
483,658.5,468.5,100.66904675960541,81.35533833503723,1.2246902750283792,1.1242234807697835
484,448.5,243.0,83.35533833503723,60.97056257724762,1.2328053937852772,1.2173746863759438
485,230.5,117.0,59.35533845424652,41.11269807815552,1.2162945976158428,1.1496250861165977
486,159.0,57.0,51.3137081861496,29.656854152679443,1.3178312803087697,1.2279069093113384
487,241.0,127.0,64.7695517539978,46.28427076339722,1.3852076341000672,1.342311361464448
488,675.5,519.0,105.01219260692596,89.94112479686737,1.2991049438319537,1.2403361660816279
489,331.0,202.0,72.76955199241638,54.627416372299194,1.273097146061312,1.1756013827869685
490,586.5,403.0,94.32590055465698,76.42640686035156,1.2072133792226738,1.1533788247593395
491,456.0,284.5,82.76955223083496,65.35533821582794,1.1955465892617942,1.1947306303320913
492,571.0,357.5,95.74011397361755,75.8406195640564,1.2774441094541729,1.2803179498908748
493,243.5,109.0,62.18376541137695,40.97056233882904,1.2637035428938128,1.225483555117719
